eno,id,mouse,pm25,mopos
2.302585092994046,172,-3.816712825623821,27.26598,0
2.302585092994046,172,NA,NA,0
1.791759469228055,172,-2.995732273553991,0.1731816,0
4.553876891600541,182,NA,NA,NA
3.258096538021482,182,-9.210340371976182,12.71467,NA
4.290459441148391,182,-3.912023005428146,17.40591,NA
3.828641396489095,182,NA,NA,NA
4.74493212836325,182,-4.422848629194137,8.299887,NA
NA,183,NA,NA,0
4.584967478670572,183,-0.6694306539426292,61.06319,0
3.58351893845611,183,-0.8580218237501793,118.4587,0
3.6635616461296463,183,NA,NA,0
3.6375861597263857,183,-1.3093333199837622,19.98452,0
3.258096538021482,188,NA,NA,0
3.58351893845611,188,0.29341560429954144,12.41631,0
2.833213344056216,188,NA,NA,0
4.1588830833596715,191,NA,NA,1
4.04305126783455,191,-3.4112477175156566,22.19162,1
3.6109179126442243,191,-9.210340371976182,4.790477,1
3.6375861597263857,191,NA,NA,1
3.784189633918261,191,-4.199705077879927,NA,1
2.70805020110221,198,NA,NA,0
3.871201010907891,198,-2.0249533563957662,6.115884,0
3.2188758248682006,198,-4.710530701645918,1.176632,0
3.044522437723423,198,NA,NA,0
3.367295829986474,198,-4.074541934925921,2.016733,0
2.9444389791664403,200,NA,NA,0
2.3978952727983707,200,-1.1973282616072674,19.11338,0
3.4011973816621555,200,NA,NA,0
NA,220,NA,NA,NA
3.912023005428146,220,-3.2968373663379125,29.86528,NA
3.8501476017100584,220,-1.2447947988461912,11.73474,NA
3.8066624897703196,220,NA,NA,NA
4.330733340286331,220,-0.8347107448817322,9.686411,NA
4.330733340286331,221,NA,NA,1
4.5217885770490405,221,-3.3242363405260273,19.20876,1
4.820281565605037,221,-2.9759296462578115,3.394527,1
4.143134726391533,221,NA,NA,1
NA,221,-3.4420193761824103,13.65106,1
3.1354942159291497,225,NA,NA,1
3.8918202981106265,225,-3.912023005428146,66.13728,1
3.332204510175204,225,-3.4420193761824103,47.57486,1
4.356708826689592,225,NA,NA,1
4.110873864173311,225,-3.6888794541139363,198.4884,1
2.6390573296152584,230,NA,NA,1
-9.210340371976182,230,-2.2537949288246137,11.48555,1
NA,239,NA,NA,0
NA,239,-1.8578992717326,13.94123,0
NA,239,-2.2537949288246137,7.430101,0
NA,239,NA,NA,0
NA,239,-1.0966142860054366,5.021668,0
3.1354942159291497,241,NA,NA,0
2.5649493574615367,241,-9.210340371976182,21.70728,0
2.6390573296152584,241,-3.3524072174927233,NA,0
2.5649493574615367,241,NA,NA,0
2.995732273553991,241,-3.816712825623821,20.38798,0
3.1354942159291497,242,NA,NA,1
3.091042453358316,242,-3.506557897319982,0.6211284,1
2.9444389791664403,242,-9.210340371976182,463.898,1
3.4011973816621555,242,NA,NA,1
2.6390573296152584,242,-9.210340371976182,11.09946,1
3.044522437723423,247,NA,NA,0
2.995732273553991,247,-9.210340371976182,12.77612,0
NA,247,-2.864704011147587,NA,0
2.302585092994046,247,NA,NA,0
3.258096538021482,247,-2.8824035882469876,8.578317,0
2.0794415416798357,249,NA,NA,0
2.1972245773362196,249,-9.210340371976182,6.09389,0
2.8903717578961645,249,-4.074541934925921,14.24902,0
2.833213344056216,249,NA,NA,0
3.4011973816621555,249,-9.210340371976182,1.628369,0
-9.210340371976182,263,NA,NA,0
2.3978952727983707,263,-3.270169119255751,49.50193,0
-9.210340371976182,263,-2.430418464503931,69.46242,0
2.1972245773362196,263,NA,NA,0
2.6390573296152584,263,NA,NA,0
2.70805020110221,265,NA,NA,0
2.0794415416798357,265,-9.210340371976182,6.148901,0
2.302585092994046,265,-3.7722610630529876,1.366873,0
1.9459101490553132,265,NA,NA,0
2.302585092994046,265,-2.9565115604007097,2.61719,0
1.9459101490553132,272,NA,NA,1
2.3978952727983707,272,-3.4112477175156566,20.62232,1
2.302585092994046,272,-2.995732273553991,25.28374,1
2.3978952727983707,272,NA,NA,1
4.330733340286331,276,NA,NA,1
4.912654885736052,276,-4.3428059215206005,8.813766,1
4.59511985013459,276,-9.210340371976182,NA,1
5.017279836814924,276,NA,NA,1
4.836281906951478,276,-9.210340371976182,9.19694,1
4.700480365792417,283,NA,NA,1
4.672828834461906,283,-2.282782465697866,37.86514,1
4.394449154672439,283,-1.6928195213731514,57.70751,1
4.51085950651685,283,NA,NA,1
4.6443908991413725,283,-2.7333680090865,62.50241,1
NA,285,NA,NA,1
1.9459101490553132,285,-1.903808973036678,20.69636,1
4.430816798843313,285,-3.912023005428146,NA,1
3.6635616461296463,285,NA,NA,1
3.1354942159291497,285,-2.4079456086518722,8.155962,1
NA,286,NA,NA,1
5.703782474656201,286,-0.5603660693261269,82.59904,1
5.703782474656201,286,-2.0024805005437076,NA,1
NA,290,NA,NA,0
2.8903717578961645,290,-3.816712825623821,12.29713,0
NA,290,-4.422848629194137,4.896735,0
3.5553480614894135,290,NA,NA,0
2.8903717578961645,290,-3.3524072174927233,-190.8291,0
NA,291,NA,NA,0
2.772588722239781,291,-1.439695137847006,9.83368,0
2.6390573296152584,291,NA,NA,0
2.4849066497880004,291,NA,NA,0
2.4849066497880004,291,-0.06827884075329438,25.98646,0
4.574710978503383,293,NA,NA,0
4.143134726391533,293,-0.731888008876376,8.235475,0
3.713572066704308,293,-0.33267943838251673,6.131424,0
3.828641396489095,293,NA,NA,0
3.713572066704308,293,-0.9649559038554361,2.574775,0
2.833213344056216,294,NA,NA,0
2.9444389791664403,294,-1.2837377727947985,18.0248,0
3.5553480614894135,294,-1.8140050781753747,9.982495,0
3.091042453358316,294,NA,NA,0
4.189654742026425,294,-9.210340371976182,13.33227,0
2.9444389791664403,298,NA,NA,1
2.995732273553991,298,-9.210340371976182,NA,1
3.2188758248682006,298,-4.017383521085972,NA,1
3.4657359027997265,298,NA,NA,1
3.6888794541139363,298,-5.115995809754082,8.173455,1
3.4011973816621555,299,NA,NA,1
2.1972245773362196,299,0.15614868248993138,53.78703,1
1.6094379124341003,299,-1.1208578976154293,19.41504,1
3.7612001156935624,299,NA,NA,1
4.276666119016055,299,-1.0356374895067213,25.69463,1
4.564348191467836,301,NA,NA,1
4.624972813284271,301,-1.584745299843729,5.28263,1
3.970291913552122,301,-0.843970070294529,10.44163,1
4.90527477843843,301,NA,NA,1
4.127134385045092,301,-1.7372712839439852,10.32912,1
3.1354942159291497,303,NA,NA,0
3.2188758248682006,303,NA,26.90725,0
3.258096538021482,303,-2.047942874620465,18.87091,0
3.9318256327243257,303,NA,NA,0
3.258096538021482,303,-3.3813947543659757,23.91533,0
3.6109179126442243,307,NA,NA,0
2.6390573296152584,307,-1.1776554960085626,32.19695,0
1.6094379124341003,307,-0.41703174447962976,9.944368,0
2.1972245773362196,307,NA,NA,0
1.791759469228055,307,0.025667746748577813,38.24626,0
3.5553480614894135,308,NA,NA,1
3.9889840465642745,308,-1.1457038962019601,57.04097,1
3.4657359027997265,308,NA,NA,1
3.258096538021482,313,NA,NA,0
3.4011973816621555,313,-3.6888794541139363,164.368,0
4.442651256490317,313,-2.2926347621408776,113.9051,0
3.2188758248682006,313,NA,NA,0
3.4657359027997265,313,-4.422848629194137,114.8927,0
NA,315,NA,NA,0
NA,315,-1.8451602459551701,46.21734,0
NA,315,-1.8263509139976741,17.69048,0
NA,315,NA,NA,0
1.791759469228055,315,-2.9374633654300153,68.79554,0
4.382026634673881,319,NA,NA,0
3.295836866004329,319,-2.6882475738060303,19.98543,0
4.219507705176107,319,NA,NA,0
3.9512437185814275,319,NA,NA,0
4.248495242049359,319,-4.605170185988091,0.4642071,0
1.6094379124341003,325,NA,NA,0
-9.210340371976182,325,-1.1647520911726548,10.05427,0
-9.210340371976182,325,-2.631089159966082,17.52235,0
-9.210340371976182,325,NA,NA,0
2.833213344056216,325,-3.540459448995663,8.889097,0
4.804021044733257,332,NA,NA,1
5.099866427824199,332,0.6523251860396901,9.404393,1
3.4339872044851463,332,NA,NA,1
NA,334,NA,NA,0
1.9459101490553132,334,-3.473768074496991,28.6578,0
2.302585092994046,334,-9.210340371976182,190.494,0
3.091042453358316,334,-9.210340371976182,6.418401,0
4.007333185232471,354,NA,NA,0
2.995732273553991,354,-9.210340371976182,13.43067,0
NA,354,-9.210340371976182,5.163077,0
2.772588722239781,354,NA,NA,0
3.044522437723423,354,-9.210340371976182,3.369571,0
4.382026634673881,355,NA,NA,1
4.143134726391533,355,-1.4354846053106625,50.36847,1
3.4011973816621555,355,-4.3428059215206005,20.5757,1
4.23410650459726,355,-9.210340371976182,32.76806,1
2.5649493574615367,359,NA,NA,1
4.718498871295094,359,-0.6871651088823978,8.599313,1
3.912023005428146,359,-2.0024805005437076,13.84892,1
2.995732273553991,359,NA,NA,1
2.9444389791664403,359,-4.017383521085972,0.1668791,1
2.3978952727983707,360,NA,NA,1
3.044522437723423,360,-4.135166556742356,11.45618,1
3.6375861597263857,360,-4.8283137373023015,3.182792,1
2.995732273553991,360,NA,NA,1
2.6390573296152584,360,-9.210340371976182,8.894026,1
4.04305126783455,362,NA,NA,1
3.4657359027997265,362,-1.3983669423541598,40.35667,1
3.1780538303479458,362,-4.8283137373023015,-21.01458,1
NA,367,NA,NA,0
3.4339872044851463,367,0.371563556432483,51.79325,0
2.5649493574615367,367,NA,NA,0
1.791759469228055,367,NA,NA,0
2.302585092994046,367,NA,NA,0
1.791759469228055,368,NA,NA,0
1.6094379124341003,368,-0.17673717850005405,64.91226,0
1.791759469228055,368,-0.4942963218147801,0,0
2.5649493574615367,368,NA,NA,0
2.3978952727983707,368,-0.9942522733438669,186.6767,0
4.927253685157205,381,NA,NA,0
5.181783550292085,381,NA,18.76572,0
5.342334251964811,381,-2.7333680090865,4.94917,0
NA,385,NA,NA,1
2.302585092994046,385,-9.210340371976182,2.257261,1
2.0794415416798357,388,NA,NA,1
NA,388,-4.074541934925921,85.78783,1
1.791759469228055,388,-9.210340371976182,31.31583,1
-9.210340371976182,388,NA,NA,1
3.295836866004329,388,-9.210340371976182,79.9532,1
NA,394,NA,NA,1
NA,394,-2.4769384801388235,15.36336,1
3.044522437723423,394,-3.611918412977808,19.72672,1
4.836281906951478,397,NA,NA,1
3.6635616461296463,397,-2.995732273553991,-71.55455,1
4.51085950651685,397,-4.605170185988091,24.45962,1
4.770684624465665,397,NA,NA,1
4.976733742420574,397,-2.995732273553991,36.43178,1
2.6390573296152584,400,NA,NA,1
3.258096538021482,400,-5.115995809754082,3897.399,1
1.6094379124341003,400,-9.210340371976182,0.0244874,1
2.833213344056216,400,NA,NA,1
2.772588722239781,401,NA,NA,0
-9.210340371976182,401,-4.017383521085972,51.70251,0
1.6094379124341003,401,-9.210340371976182,22.66781,0
1.9459101490553132,401,NA,NA,0
1.791759469228055,401,-3.912023005428146,128.5749,0
2.833213344056216,404,NA,NA,0
2.70805020110221,404,-2.9374633654300153,NA,0
2.70805020110221,404,-4.605170185988091,34.58799,0
2.0794415416798357,404,NA,NA,0
2.6390573296152584,404,-3.912023005428146,36.80579,0
NA,421,NA,NA,1
NA,421,-3.0159349808715104,92.14244,1
-9.210340371976182,421,-9.210340371976182,53.52086,1
2.5649493574615367,421,NA,NA,1
NA,421,-0.6733445532637656,233.1949,1
NA,428,NA,NA,0
-9.210340371976182,428,0.16211884947643512,50.10589,0
3.332204510175204,428,0.3729419164026043,39.64866,0
2.3978952727983707,428,NA,NA,0
1.791759469228055,428,-0.6792442753909539,19.37972,0
NA,432,NA,NA,0
-9.210340371976182,432,-3.2441936328524905,31.49608,0
NA,432,-4.017383521085972,20.44876,0
2.3978952727983707,432,NA,NA,0
3.295836866004329,432,-2.5257286443082556,10.85087,0
NA,435,NA,NA,0
2.3978952727983707,435,-2.6882475738060303,5.083291,0
4.1588830833596715,435,-9.210340371976182,10.50696,0
3.9889840465642745,435,NA,NA,0
3.970291913552122,435,-4.135166556742356,280.2486,0
4.248495242049359,439,NA,NA,NA
2.9444389791664403,439,-9.210340371976182,17.68714,NA
3.8918202981106265,439,-9.210340371976182,-38.09478,NA
4.0943445622221,439,NA,NA,NA
3.6635616461296463,439,-9.210340371976182,239.7545,NA
3.1780538303479458,446,NA,NA,0
3.367295829986474,446,0.2374408560150342,43.73409,0
3.970291913552122,446,0.6518042170255629,50.91136,0
3.258096538021482,446,NA,NA,0
2.995732273553991,446,-9.210340371976182,12.61638,0
2.772588722239781,447,NA,NA,0
2.5649493574615367,447,-2.1715568305876416,1.858947,0
3.4965075614664802,447,-3.9633162998156966,45.64172,0
NA,447,NA,NA,0
3.8918202981106265,447,-2.8134107167600364,31.68295,0
4.442651256490317,452,NA,NA,0
2.995732273553991,452,-4.268697949366879,12.37116,0
4.718498871295094,452,-2.2256240518579173,31.78264,0
4.204692619390966,452,NA,NA,0
4.3694478524670215,452,-1.7203694731413821,21.53629,0
4.6443908991413725,455,NA,NA,NA
4.7535901911063645,455,-2.5257286443082556,43.22068,NA
4.430816798843313,455,-3.912023005428146,12.86544,NA
4.543294782270004,455,NA,NA,NA
3.713572066704308,455,-9.210340371976182,83.72678,NA
3.4339872044851463,457,NA,NA,1
2.9444389791664403,457,-9.210340371976182,NA,1
2.3978952727983707,457,-4.3428059215206005,81.7149,1
4.127134385045092,457,NA,NA,1
4.060443010546419,457,-3.540459448995663,28.70366,1
2.0794415416798357,458,NA,NA,1
1.9459101490553132,458,-1.2378743560016174,41.3192,1
3.295836866004329,458,-0.41703174447962976,1.694313,1
3.2188758248682006,458,NA,NA,1
1.791759469228055,458,-1.9241486572738007,9.026792,1
2.1972245773362196,462,NA,NA,0
-9.210340371976182,462,-9.210340371976182,12.42922,0
2.6390573296152584,462,-3.9633162998156966,NA,0
2.5649493574615367,462,NA,NA,0
1.791759469228055,462,-2.8473122684357177,5.107985,0
2.6390573296152584,466,NA,NA,0
3.258096538021482,466,-4.268697949366879,30.66569,0
2.772588722239781,466,-4.605170185988091,30.67756,0
2.302585092994046,466,NA,NA,0
4.127134385045092,470,NA,NA,1
NA,470,-0.9675840262617056,9.526076,1
4.709530201312334,470,-3.473768074496991,8.702085,1
4.51085950651685,470,NA,NA,1
4.499809670330265,470,-4.074541934925921,NA,1
1.791759469228055,473,NA,NA,1
3.091042453358316,473,-4.605170185988091,11.31239,1
-9.210340371976182,473,NA,52.95143,1
2.8903717578961645,473,NA,NA,1
2.1972245773362196,473,-4.074541934925921,5.539867,1
3.044522437723423,476,NA,NA,1
-9.210340371976182,476,-1.374365790254617,48.61871,1
2.833213344056216,476,-3.912023005428146,1.308534,1
2.833213344056216,476,NA,NA,1
2.772588722239781,476,-3.816712825623821,7.857875,1
NA,483,NA,NA,0
3.828641396489095,483,-0.15082288973458366,17.61761,0
3.258096538021482,483,-1.8018098050815563,12.94988,0
3.8501476017100584,483,NA,NA,0
4.31748811353631,489,NA,NA,1
3.4011973816621555,489,-0.5108256237659907,22.76033,1
3.970291913552122,489,NA,NA,1
3.4657359027997265,492,NA,NA,1
3.2188758248682006,492,NA,55.61224,1
3.295836866004329,492,-1.4696759700589417,106.6995,1
3.044522437723423,492,NA,NA,1
2.302585092994046,492,NA,49.27459,1
2.9444389791664403,497,NA,NA,0
3.091042453358316,497,-4.605170185988091,93.1451,0
2.5649493574615367,497,-4.605170185988091,20.87727,0
3.4011973816621555,497,NA,NA,0
3.044522437723423,497,-9.210340371976182,18.05672,0
3.258096538021482,500,NA,NA,0
3.4657359027997265,500,-0.3871341514234409,60.40725,0
3.6635616461296463,500,-1.3983669423541598,46.66465,0
2.0794415416798357,500,NA,NA,0
3.4657359027997265,502,NA,NA,0
3.295836866004329,502,1.0116009116784799,18.47734,0
3.2188758248682006,502,NA,NA,0
3.044522437723423,502,NA,NA,0
2.0794415416798357,502,-1.8971199848858813,27.08795,0
3.9889840465642745,504,NA,NA,0
4.553876891600541,504,-3.4112477175156566,9.101128,0
3.9889840465642745,504,-4.135166556742356,16.89298,0
3.713572066704308,504,NA,NA,0
4.060443010546419,504,-4.961845129926823,10.14369,0
3.9889840465642745,506,NA,NA,1
3.6635616461296463,506,-2.4079456086518722,25.46656,1
2.995732273553991,506,-2.0955709236097197,NA,1
2.6390573296152584,506,NA,NA,1
2.8903717578961645,506,-3.7297014486341915,15.55922,1
4.248495242049359,511,NA,NA,1
4.418840607796598,511,-1.171182981502945,153.7756,1
3.332204510175204,511,NA,NA,1
3.6109179126442243,511,-3.540459448995663,86.67062,1
3.5263605246161616,514,NA,NA,0
